Data,Quota [m s.l.m.],Volume [mÂ³]
2024-01-01,931.82,9868891
2024-02-05,928.57,7767137
2024-03-04,928.53,7743459
2024-04-01,930.38,8892232
2024-05-06,928.66,7820611
2024-06-03,926.65,6686756
2024-07-01,923.75,5250291
2024-08-05,919.05,3459720
2024-09-02,914.19,2243694
2024-10-07,908.18,1265883
2024-11-04,903.15,696269
2024-12-02,902.20,607681
2025-01-15,935.86,13057793
2025-02-01,942.50,19584257
2025-03-01,948.26,25746452
2025-04-01,949.48,27052687
2025-05-01,947.74,25189697
2025-06-01,947.88,25339592
2025-07-01,947.38,24804250
2025-08-01,945.15,22416625
2025-09-01,940.51,17497313

